time_s	raw_force_N	drift_model_N	corrected_force_N	filtered_force_N	raw_gauge_pressure	filtered_gauge_pressure
0.000000	1.078732	0.890267	0.188465	0.192862	-0.003995	-0.005538
0.003125	-0.455029	0.890267	-1.345295	0.163138	-0.030995	-0.004724
0.006250	1.462172	0.890267	0.571905	0.148049	0.063505	-0.003923
0.009375	1.078732	0.890267	0.188465	0.154182	0.014905	-0.003139
0.012500	0.695291	0.890267	-0.194975	0.182278	0.006805	-0.002374
0.015625	0.695291	0.890267	-0.194975	0.230663	-0.003995	-0.001634
0.018750	1.462172	0.890267	0.571905	0.292770	0.014905	-0.000920
0.021875	1.078732	0.890267	0.188465	0.357208	0.023005	-0.000237
0.025000	2.229052	0.890267	1.338785	0.412347	-0.009395	0.000414
0.028125	1.462172	0.890267	0.571905	0.452042	-0.012095	0.001030
0.031250	0.695291	0.890267	-0.194975	0.477928	0.020305	0.001607
0.034375	2.229052	0.890267	1.338785	0.495408	0.033805	0.002146
0.037500	0.311851	0.890267	-0.578415	0.509346	0.039205	0.002643
0.040625	2.229052	0.890267	1.338785	0.522965	0.025705	0.003099
0.043750	0.695291	0.890267	-0.194975	0.537462	0.014905	0.003512
0.046875	1.078732	0.890267	0.188465	0.551051	0.009505	0.003882
0.050000	1.462172	0.890267	0.571905	0.556226	-0.022895	0.004208
0.053125	2.229052	0.890267	1.338785	0.540115	-0.022895	0.004491
0.056250	1.845612	0.890267	0.955345	0.492303	0.017605	0.004731
0.059375	1.462172	0.890267	0.571905	0.412554	-0.003995	0.004928
0.062500	1.078732	0.890267	0.188465	0.310816	0.020305	0.005084
0.065625	1.078732	0.890267	0.188465	0.201894	-0.025595	0.005200
0.068750	0.695291	0.890267	-0.194975	0.100620	-0.006695	0.005277
0.071875	0.311851	0.890267	-0.578415	0.018401	0.012205	0.005317
0.075000	0.695291	0.890267	-0.194975	-0.040391	-0.003995	0.005320
0.078125	1.845612	0.890267	0.955345	-0.078211	-0.012095	0.005289
